N,P,K,temperature,humidity,ph,rainfall,label
51.0,62.0,45.0,36.9,95.24,7.32,148.65,papaya
57.0,59.0,45.0,34.59,91.89,7.21,125.66,papaya
55.0,60.0,50.0,35.4,90.59,6.86,167.95,papaya
82.0,51.0,50.0,21.79,87.12,5.86,198.81,rice
74.0,47.0,53.0,25.84,72.1,6.04,179.24,jute
17.0,18.0,24.0,29.73,55.81,6.1,124.89,mango
24.0,12.0,20.0,24.19,54.64,5.95,146.3,mango
24.0,17.0,15.0,16.67,82.29,6.63,82.99,grapes
113.0,27.0,25.0,25.17,65.57,6.45,196.0,coffee
24.0,12.0,16.0,29.91,49.12,5.48,95.77,mango
14.0,142.0,200.0,23.5,90.89,5.74,119.72,apple
24.0,19.0,18.0,11.28,82.66,5.73,75.99,grapes
103.0,11.0,54.0,25.49,86.36,6.08,49.51,muskmelon
28.0,19.0,30.0,27.61,95.19,5.95,164.35,coconut
82.0,40.0,47.0,24.16,89.94,6.18,204.28,jute
26.0,58.0,17.0,28.74,90.79,6.73,148.2,mungbean
105.0,75.0,54.0,29.68,76.29,5.88,106.56,banana
81.0,78.0,53.0,26.17,72.23,5.27,165.46,banana
65.0,47.0,38.0,24.43,86.51,6.74,180.96,rice
118.0,48.0,18.0,28.81,80.46,6.53,116.84,cotton
83.0,44.0,31.0,18.85,69.33,5.64,57.13,maize
95.0,50.0,49.0,24.43,63.42,6.77,128.57,maize
17.0,60.0,23.0,31.29,48.47,5.76,61.64,mothbeans
50.0,59.0,49.0,34.87,91.37,6.63,172.04,papaya
23.0,49.0,24.0,25.5,84.27,7.41,190.84,mungbean
21.0,109.0,25.0,20.93,23.75,5.83,144.31,kidneybeans
26.0,21.0,37.0,27.23,97.87,5.89,105.04,coconut
99.0,29.0,33.0,26.57,64.94,6.01,164.21,coffee
106.0,28.0,30.0,24.12,55.81,6.78,214.11,coffee
109.0,18.0,48.0,33.33,91.98,6.69,31.4,muskmelon
78.0,58.0,52.0,25.37,88.27,7.02,219.92,jute
40.0,68.0,16.0,28.97,71.67,6.25,126.81,blackgram
29.0,55.0,22.0,26.23,56.59,4.0,78.99,mothbeans
19.0,121.0,32.0,21.98,21.5,6.72,116.35,kidneybeans
25.0,25.0,34.0,29.82,91.27,5.16,147.39,coconut
57.0,32.0,38.0,19.33,66.35,6.88,130.06,maize
99.0,46.0,36.0,18.81,63.06,5.85,119.5,maize
42.0,71.0,75.0,23.95,19.33,6.84,72.72,chickpea
19.0,64.0,20.0,25.35,51.61,4.57,51.76,mothbeans
49.0,72.0,20.0,30.23,69.13,7.43,128.02,blackgram
24.0,24.0,15.0,11.16,92.67,6.05,116.63,orange
13.0,114.0,32.0,18.62,18.5,6.23,115.12,kidneybeans
20.0,16.0,22.0,20.38,90.63,6.25,149.78,pomegranate
96.0,13.0,49.0,28.68,85.55,6.98,45.42,watermelon
28.0,51.0,26.0,27.35,89.65,6.76,148.42,mungbean
16.0,23.0,16.0,13.36,92.34,6.73,102.21,orange
90.0,78.0,57.0,30.03,75.92,6.81,156.0,banana
64.0,51.0,45.0,24.74,77.2,6.41,201.11,jute
105.0,15.0,51.0,33.04,89.52,6.52,48.36,muskmelon
77.0,56.0,60.0,29.64,81.47,6.06,187.45,jute
24.0,22.0,29.0,27.97,97.62,5.79,188.6,coconut
30.0,86.0,25.0,20.93,16.09,5.84,147.94,pigeonpeas
81.0,48.0,52.0,23.45,81.28,5.93,204.46,rice
16.0,22.0,24.0,22.82,89.84,6.09,171.7,pomegranate
104.0,15.0,48.0,25.89,82.61,6.69,57.03,watermelon
82.0,54.0,57.0,22.54,81.1,5.84,214.07,rice
11.0,95.0,29.0,22.92,65.83,7.32,72.39,lentil
59.0,42.0,37.0,24.21,55.91,7.24,147.35,maize
18.0,14.0,21.0,28.99,51.82,5.5,178.76,mango
43.0,73.0,19.0,29.32,61.18,6.51,112.29,blackgram
42.0,72.0,72.0,18.53,18.97,6.07,86.63,chickpea
24.0,45.0,18.0,29.69,82.0,7.25,107.92,mungbean
61.0,43.0,46.0,21.8,70.51,7.43,70.38,maize
17.0,18.0,23.0,25.16,51.64,6.44,120.36,mango
54.0,79.0,99.0,21.34,15.01,6.65,66.26,chickpea
55.0,83.0,81.0,19.3,16.54,6.24,88.69,chickpea
27.0,53.0,19.0,30.94,53.69,5.07,74.4,mothbeans
75.0,31.0,40.0,18.68,71.01,5.97,104.0,maize
21.0,19.0,19.0,22.17,97.38,6.58,176.84,pomegranate
16.0,22.0,18.0,19.19,97.36,5.54,143.78,pomegranate
74.0,58.0,55.0,27.72,81.24,6.6,290.75,rice
88.0,46.0,47.0,27.79,81.23,7.21,169.03,jute
18.0,122.0,25.0,18.78,23.15,6.52,141.9,kidneybeans
71.0,37.0,59.0,23.14,88.92,6.45,269.22,rice
17.0,59.0,18.0,25.88,51.94,6.7,60.59,mothbeans
11.0,102.0,31.0,17.89,66.64,6.35,70.01,lentil
88.0,55.0,49.0,25.21,86.13,6.69,157.53,jute
66.0,49.0,32.0,26.17,62.61,7.26,136.81,maize
1.0,136.0,197.0,21.73,94.95,6.64,125.11,apple
111.0,55.0,16.0,23.48,80.96,7.39,117.65,cotton
98.0,16.0,52.0,27.39,86.68,6.89,63.0,watermelon
21.0,19.0,22.0,21.93,84.69,5.51,82.71,grapes
22.0,75.0,98.0,21.42,19.37,6.57,59.95,chickpea
26.0,50.0,27.0,28.71,49.11,4.33,81.4,mothbeans
94.0,83.0,64.0,30.56,72.4,5.66,147.05,banana
19.0,15.0,22.0,24.81,50.28,4.69,96.6,mango
62.0,41.0,42.0,24.7,80.95,6.32,236.02,jute
23.0,18.0,18.0,15.39,81.08,7.27,66.71,grapes
20.0,21.0,20.0,9.39,81.59,5.6,72.91,grapes
100.0,47.0,53.0,27.56,88.5,5.87,217.58,rice
23.0,19.0,15.0,11.85,93.39,6.85,119.01,orange
35.0,65.0,26.0,29.05,63.86,7.37,112.73,blackgram
58.0,65.0,46.0,36.66,93.21,6.74,138.11,papaya
15.0,45.0,18.0,26.75,90.06,6.56,119.15,mungbean
31.0,74.0,26.0,28.92,67.24,5.23,157.61,blackgram
22.0,22.0,35.0,25.68,91.14,7.27,165.16,coconut
23.0,16.0,31.0,25.44,96.88,6.77,187.76,coconut
113.0,52.0,17.0,26.45,81.88,7.23,96.07,cotton
51.0,56.0,50.0,33.8,94.32,7.19,147.97,papaya
11.0,102.0,29.0,19.83,19.36,6.42,112.64,kidneybeans
23.0,18.0,18.0,26.72,56.36,4.91,93.79,mango
17.0,20.0,25.0,19.91,80.73,5.56,83.67,grapes
92.0,85.0,55.0,31.58,74.94,5.83,178.7,banana
14.0,90.0,29.0,18.68,65.55,5.7,66.23,lentil
17.0,18.0,25.0,15.28,82.0,6.54,80.58,grapes
23.0,14.0,15.0,26.91,53.11,4.8,173.16,mango
14.0,126.0,197.0,21.28,90.32,5.9,117.16,apple
62.0,46.0,46.0,25.29,80.16,6.02,180.1,jute
23.0,17.0,10.0,13.91,95.66,6.27,102.32,orange
37.0,90.0,64.0,17.78,16.21,6.23,99.02,chickpea
22.0,20.0,19.0,20.04,94.21,7.28,149.62,pomegranate
19.0,23.0,17.0,19.33,89.61,6.24,184.7,pomegranate
21.0,21.0,21.0,18.07,83.21,6.54,78.64,grapes
106.0,15.0,48.0,28.53,93.72,6.31,39.12,muskmelon
10.0,133.0,25.0,21.1,19.41,6.02,101.51,kidneybeans
115.0,47.0,24.0,26.92,77.92,7.43,90.35,cotton
12.0,94.0,34.0,16.86,69.78,7.49,55.0,lentil
16.0,137.0,199.0,21.33,94.48,5.55,125.9,apple
19.0,134.0,16.0,19.34,18.4,6.96,140.85,kidneybeans
105.0,28.0,28.0,26.98,61.74,6.16,159.45,coffee
96.0,16.0,51.0,25.7,90.09,6.08,45.76,muskmelon
23.0,21.0,15.0,12.09,93.05,6.15,110.48,orange
17.0,58.0,18.0,30.98,53.13,4.05,98.12,mothbeans
50.0,78.0,72.0,24.0,14.93,7.13,65.7,chickpea
98.0,34.0,35.0,19.65,61.6,7.01,101.94,maize
19.0,16.0,20.0,20.24,84.44,5.52,82.73,grapes
31.0,84.0,95.0,24.47,14.85,5.76,97.24,chickpea
118.0,54.0,21.0,27.24,76.28,7.99,106.37,cotton
101.0,16.0,51.0,33.98,91.3,6.74,49.28,muskmelon
24.0,24.0,17.0,12.34,81.2,6.22,83.29,grapes
25.0,51.0,20.0,25.57,83.93,7.44,140.87,mungbean
97.0,56.0,38.0,25.28,88.17,6.33,229.45,rice
94.0,41.0,30.0,21.26,65.35,5.68,85.06,maize
19.0,21.0,16.0,19.13,96.59,6.01,138.02,pomegranate
25.0,17.0,22.0,8.61,80.33,6.6,67.1,grapes
70.0,45.0,37.0,27.9,89.44,5.56,255.84,rice
78.0,45.0,35.0,19.1,62.09,6.07,79.63,maize
52.0,59.0,46.0,37.09,96.87,6.76,127.81,papaya
105.0,77.0,57.0,26.07,72.66,5.43,112.79,banana
52.0,64.0,50.0,37.08,95.85,7.47,163.16,papaya
98.0,17.0,52.0,28.45,86.99,6.47,43.3,watermelon
36.0,77.0,76.0,24.08,19.71,6.53,65.47,chickpea
23.0,22.0,19.0,23.37,89.63,7.49,111.89,pomegranate
56.0,49.0,45.0,21.53,60.93,6.2,127.47,maize
22.0,19.0,24.0,10.53,82.72,7.4,77.51,grapes
47.0,70.0,74.0,24.17,16.32,6.3,94.51,chickpea
7.0,138.0,200.0,23.45,93.14,5.5,122.9,apple
87.0,71.0,59.0,30.95,76.34,6.86,159.03,banana
22.0,48.0,29.0,30.94,54.08,3.87,88.79,mothbeans
106.0,52.0,21.0,25.21,82.21,7.52,116.03,cotton
28.0,51.0,25.0,26.51,56.58,3.62,78.99,mothbeans
28.0,43.0,29.0,27.68,89.3,6.23,120.52,mungbean
29.0,127.0,34.0,19.06,21.67,6.52,115.88,kidneybeans
15.0,16.0,17.0,15.06,84.25,5.97,83.7,grapes
58.0,63.0,50.0,34.04,95.89,7.03,169.46,papaya
28.0,87.0,99.0,16.02,14.07,6.24,54.63,chickpea
44.0,65.0,28.0,31.12,66.61,7.25,156.3,blackgram
62.0,31.0,48.0,24.17,70.93,6.46,61.73,maize
105.0,10.0,53.0,29.33,90.51,6.43,62.76,watermelon
74.0,50.0,43.0,26.22,57.65,7.22,142.28,maize
51.0,59.0,46.0,35.9,88.53,6.65,162.29,papaya
54.0,62.0,52.0,37.37,96.8,7.01,166.54,papaya
53.0,84.0,65.0,15.94,21.28,6.64,91.46,chickpea
63.0,35.0,35.0,26.51,66.22,6.55,61.48,maize
101.0,89.0,47.0,31.31,73.26,5.79,185.14,banana
83.0,58.0,47.0,23.11,86.43,6.19,231.84,rice
22.0,69.0,23.0,21.14,19.87,5.42,104.69,pigeonpeas
84.0,36.0,46.0,23.78,67.69,7.1,89.6,maize
127.0,53.0,20.0,27.62,80.63,5.95,95.75,cotton
61.0,33.0,31.0,25.09,83.14,6.26,286.13,rice
87.0,78.0,57.0,30.29,81.02,6.83,177.66,banana
80.0,33.0,46.0,24.94,59.42,5.66,118.05,maize
47.0,59.0,28.0,28.34,72.49,5.31,109.73,blackgram
116.0,54.0,21.0,27.94,79.17,6.29,103.41,cotton
32.0,64.0,20.0,28.13,63.8,7.35,167.95,blackgram
15.0,108.0,21.0,18.97,19.29,6.14,145.39,kidneybeans
91.0,35.0,49.0,19.51,63.65,7.39,91.97,maize
15.0,86.0,25.0,15.2,66.71,6.55,70.44,lentil
92.0,38.0,43.0,20.63,80.25,6.94,275.4,rice
112.0,28.0,34.0,26.08,62.91,6.33,174.37,coffee
20.0,56.0,23.0,28.23,85.14,6.96,172.99,mungbean
1.0,142.0,203.0,22.72,90.42,5.91,108.93,apple
18.0,139.0,198.0,22.76,91.55,7.0,122.47,apple
18.0,13.0,16.0,30.92,51.93,5.93,141.25,mango
22.0,78.0,22.0,23.64,17.53,6.76,140.44,pigeonpeas
92.0,73.0,53.0,31.1,75.63,6.9,194.63,banana
21.0,22.0,9.0,13.13,92.25,6.76,115.47,orange
100.0,12.0,52.0,25.76,91.04,6.93,49.76,muskmelon
18.0,94.0,26.0,21.32,19.76,6.02,148.35,pigeonpeas
17.0,54.0,23.0,26.07,50.16,3.8,65.16,mothbeans
11.0,100.0,18.0,18.45,60.62,6.04,64.58,lentil
86.0,55.0,54.0,24.69,70.43,6.89,236.31,jute
70.0,42.0,48.0,20.11,67.46,6.76,123.31,maize
17.0,23.0,23.0,19.42,90.89,7.38,182.57,pomegranate
68.0,59.0,49.0,25.04,72.2,6.97,193.77,jute
23.0,20.0,9.0,12.91,94.89,7.09,115.22,orange
21.0,19.0,16.0,10.93,94.44,7.08,118.08,orange
9.0,141.0,200.0,23.11,93.73,5.88,126.27,apple
8.0,141.0,202.0,22.31,93.26,5.58,105.41,apple
22.0,24.0,37.0,27.35,97.78,5.23,75.42,coconut
21.0,17.0,11.0,14.49,93.74,6.59,114.48,orange
99.0,41.0,41.0,26.5,89.47,6.98,263.01,rice
107.0,13.0,49.0,33.9,89.37,6.08,53.13,muskmelon
54.0,62.0,52.0,36.9,93.79,6.62,143.69,papaya
40.0,56.0,19.0,30.72,70.87,7.24,108.82,blackgram
113.0,15.0,50.0,25.93,92.91,6.08,22.4,muskmelon
24.0,15.0,17.0,25.36,47.0,6.3,100.0,mango
26.0,86.0,32.0,24.04,16.76,6.61,143.22,pigeonpeas
52.0,56.0,53.0,35.87,89.15,6.85,152.35,papaya
86.0,52.0,59.0,28.6,72.48,6.26,248.91,jute
76.0,53.0,55.0,25.97,76.44,6.46,186.27,jute
23.0,17.0,37.0,29.91,96.52,5.94,125.44,coconut
69.0,47.0,31.0,27.02,64.23,6.77,115.94,maize
18.0,126.0,199.0,21.09,91.85,5.76,107.57,apple
20.0,67.0,30.0,20.85,16.42,6.06,145.15,pigeonpeas
111.0,31.0,35.0,27.14,69.98,6.59,170.45,coffee
58.0,38.0,35.0,25.31,74.63,6.01,115.42,maize
94.0,58.0,41.0,22.17,86.44,6.11,153.81,rice
22.0,90.0,20.0,16.69,67.75,5.76,50.42,lentil
79.0,39.0,42.0,27.43,59.81,5.74,69.75,maize
120.0,44.0,20.0,24.63,83.08,6.65,110.02,cotton
100.0,12.0,54.0,34.39,94.93,6.96,20.21,muskmelon
25.0,92.0,71.0,23.77,21.55,5.75,73.13,chickpea
26.0,65.0,16.0,24.77,54.2,4.49,59.22,mothbeans
51.0,58.0,48.0,33.51,93.78,6.83,156.64,papaya
97.0,16.0,47.0,24.22,83.86,6.77,52.15,watermelon
53.0,58.0,50.0,36.23,93.2,6.61,148.85,papaya
35.0,56.0,23.0,31.16,74.74,6.59,112.12,blackgram
23.0,18.0,23.0,26.79,51.54,5.99,177.65,mango
111.0,30.0,31.0,26.58,69.41,6.17,249.74,coffee
98.0,30.0,26.0,27.4,57.13,6.67,189.12,coffee
19.0,58.0,16.0,24.91,47.04,7.0,90.11,mothbeans
100.0,74.0,54.0,26.38,77.48,5.23,102.31,banana
61.0,50.0,35.0,27.69,81.49,6.12,162.8,rice
53.0,98.0,93.0,15.02,19.09,5.59,62.88,chickpea
21.0,23.0,19.0,20.58,92.1,6.25,192.55,pomegranate
31.0,41.0,30.0,28.69,85.03,6.67,106.64,mungbean
13.0,109.0,15.0,21.34,23.85,5.7,111.57,kidneybeans
103.0,72.0,62.0,30.69,72.33,5.18,104.91,banana
55.0,60.0,52.0,35.24,88.55,7.34,158.7,papaya
19.0,18.0,21.0,10.59,83.13,5.85,66.28,grapes
15.0,22.0,15.0,13.96,92.05,6.67,113.18,orange
20.0,16.0,33.0,28.5,97.99,6.08,187.05,coconut
90.0,31.0,47.0,26.1,88.77,6.01,273.19,rice
21.0,19.0,9.0,11.65,95.8,6.92,102.4,orange
25.0,20.0,24.0,13.7,84.99,6.66,65.85,grapes
76.0,47.0,40.0,22.79,55.51,6.18,88.02,maize
23.0,53.0,25.0,29.98,82.52,7.32,145.83,mungbean
70.0,56.0,44.0,29.91,88.97,6.02,194.04,jute
17.0,81.0,23.0,20.71,69.53,6.53,66.86,lentil
20.0,108.0,17.0,20.78,20.3,6.73,132.98,kidneybeans
8.0,127.0,197.0,21.46,92.41,6.29,128.47,apple
99.0,15.0,53.0,29.53,90.07,6.03,22.43,muskmelon
105.0,34.0,32.0,23.4,58.14,6.31,161.64,coffee
20.0,23.0,24.0,19.02,89.36,6.76,130.12,pomegranate
18.0,17.0,24.0,8.77,80.88,6.6,74.62,grapes
20.0,20.0,18.0,22.16,95.6,7.21,197.29,pomegranate
83.0,79.0,49.0,26.46,78.61,6.82,140.38,banana
85.0,59.0,54.0,25.7,77.2,6.72,210.46,jute
88.0,42.0,35.0,21.25,82.5,6.32,257.19,rice
54.0,63.0,51.0,35.99,96.65,6.69,172.17,papaya
71.0,36.0,46.0,23.39,61.23,6.72,121.62,maize
15.0,24.0,21.0,19.93,90.46,5.52,123.55,pomegranate
22.0,17.0,19.0,18.43,91.9,6.98,138.64,pomegranate
54.0,58.0,50.0,35.32,91.94,7.36,127.51,papaya
21.0,11.0,21.0,25.22,55.31,5.39,115.34,mango
36.0,67.0,16.0,25.53,66.11,7.34,128.29,blackgram
77.0,56.0,49.0,31.68,75.44,7.12,191.9,jute
82.0,32.0,41.0,22.54,71.89,5.7,98.82,maize
52.0,63.0,49.0,35.47,96.22,6.88,136.0,papaya
17.0,108.0,27.0,20.38,64.54,5.92,30.17,lentil
18.0,17.0,18.0,18.21,95.04,6.48,109.42,pomegranate
26.0,94.0,28.0,25.49,18.79,5.83,176.64,pigeonpeas
1.0,135.0,204.0,22.76,91.38,6.1,120.41,apple
20.0,19.0,18.0,12.8,92.03,6.35,112.23,orange
109.0,10.0,54.0,29.57,91.76,6.94,48.16,watermelon
109.0,73.0,59.0,28.54,72.26,6.85,185.18,banana
27.0,117.0,23.0,21.66,19.51,6.77,124.2,kidneybeans
21.0,16.0,30.0,25.22,92.34,7.6,117.43,coconut
28.0,98.0,18.0,23.34,18.81,6.16,132.12,pigeonpeas
12.0,133.0,201.0,22.02,90.14,6.09,127.91,apple
101.0,26.0,32.0,27.4,69.16,6.06,223.99,coffee
21.0,15.0,19.0,28.75,49.33,6.85,142.99,mango
32.0,91.0,81.0,18.48,16.97,5.5,64.99,chickpea
24.0,23.0,16.0,16.7,81.18,6.62,84.14,grapes
75.0,59.0,52.0,24.79,81.56,5.73,158.71,rice
113.0,45.0,24.0,28.19,84.72,7.12,74.5,cotton
103.0,28.0,34.0,25.98,63.87,6.61,221.88,coffee
101.0,30.0,32.0,23.47,59.45,6.93,192.91,coffee
28.0,94.0,16.0,23.49,19.51,5.5,124.62,pigeonpeas
22.0,16.0,30.0,27.23,92.72,6.4,128.65,coconut
26.0,21.0,31.0,28.67,94.71,5.04,187.71,coconut
108.0,42.0,16.0,27.31,76.16,7.65,119.58,cotton
20.0,24.0,18.0,20.15,83.22,5.54,79.49,grapes
97.0,46.0,39.0,26.18,57.4,6.59,50.58,maize
56.0,65.0,46.0,34.34,96.0,7.27,171.33,papaya
60.0,38.0,46.0,20.04,66.1,6.97,111.6,maize
124.0,52.0,24.0,25.99,77.93,7.21,84.94,cotton
22.0,97.0,26.0,25.34,20.49,5.68,134.7,pigeonpeas
21.0,99.0,70.0,21.76,19.65,6.54,65.65,chickpea
33.0,59.0,28.0,25.77,91.47,6.75,100.93,mungbean
85.0,57.0,48.0,21.86,80.24,6.81,153.19,rice
37.0,62.0,65.0,22.66,14.0,6.21,76.13,chickpea
105.0,11.0,54.0,29.58,86.28,6.43,24.45,muskmelon
25.0,125.0,19.0,18.1,19.71,6.16,130.86,kidneybeans
16.0,45.0,27.0,25.08,51.68,5.62,71.42,mothbeans
120.0,46.0,17.0,25.97,81.64,5.96,80.01,cotton
23.0,16.0,10.0,13.98,90.01,6.42,111.68,orange
108.0,10.0,48.0,24.79,85.83,6.2,59.32,watermelon
80.0,47.0,45.0,21.56,87.22,5.92,153.65,rice
62.0,44.0,39.0,20.01,64.83,5.63,108.2,maize
18.0,139.0,26.0,19.1,22.26,5.91,145.21,kidneybeans
22.0,56.0,16.0,29.11,47.81,5.02,64.63,mothbeans
109.0,9.0,50.0,28.97,86.51,6.15,69.55,watermelon
25.0,41.0,23.0,30.89,91.97,6.76,132.03,mungbean
106.0,28.0,32.0,27.13,60.19,6.09,179.63,coffee
10.0,98.0,21.0,23.62,62.83,6.87,60.34,lentil
45.0,68.0,17.0,29.76,67.5,7.24,168.99,blackgram
16.0,22.0,15.0,11.43,92.38,6.7,100.44,orange
106.0,43.0,24.0,27.48,77.27,6.28,111.76,cotton
100.0,11.0,55.0,28.74,92.61,6.45,47.77,muskmelon
126.0,49.0,22.0,25.44,84.44,7.36,85.31,cotton
30.0,113.0,30.0,21.23,23.15,7.0,112.07,kidneybeans
22.0,117.0,18.0,18.47,21.28,6.85,117.2,kidneybeans
17.0,21.0,22.0,12.44,82.7,6.88,73.43,grapes
23.0,87.0,33.0,15.19,67.32,7.37,59.57,lentil
30.0,44.0,21.0,28.51,89.25,6.35,140.64,mungbean
26.0,44.0,28.0,31.6,87.18,6.66,123.41,mungbean
29.0,123.0,25.0,18.34,21.29,6.07,130.36,kidneybeans
20.0,21.0,29.0,25.01,97.45,6.66,190.87,coconut
84.0,45.0,32.0,18.6,59.94,5.82,137.18,maize
19.0,122.0,29.0,20.81,19.03,6.25,120.6,kidneybeans
17.0,24.0,16.0,23.9,96.6,6.88,193.87,pomegranate
24.0,118.0,28.0,21.35,19.02,5.53,138.96,kidneybeans
113.0,10.0,51.0,31.44,86.69,6.98,37.09,muskmelon
21.0,10.0,15.0,25.04,49.52,5.57,133.87,mango
23.0,54.0,26.0,25.06,52.47,5.41,54.47,mothbeans
55.0,61.0,51.0,34.41,89.66,6.55,153.67,papaya
10.0,142.0,200.0,22.44,94.62,6.58,103.35,apple
29.0,80.0,64.0,18.85,17.9,6.61,97.53,chickpea
23.0,21.0,23.0,20.0,96.31,6.05,154.61,pomegranate
62.0,41.0,43.0,29.13,77.98,7.24,157.19,jute
72.0,32.0,44.0,18.62,65.19,7.49,131.4,maize
21.0,132.0,18.0,20.32,21.03,5.72,131.2,kidneybeans
29.0,61.0,26.0,24.39,55.44,5.03,67.12,mothbeans
17.0,95.0,30.0,15.88,66.68,7.29,32.6,lentil
28.0,84.0,67.0,18.32,20.84,5.85,53.56,chickpea
122.0,54.0,25.0,26.48,77.34,6.23,73.38,cotton
26.0,19.0,33.0,26.4,91.3,6.45,132.94,coconut
74.0,31.0,49.0,26.84,73.56,7.49,67.39,maize
111.0,9.0,49.0,25.63,84.92,6.12,64.17,watermelon
23.0,24.0,21.0,21.55,84.98,5.73,81.99,grapes
21.0,48.0,30.0,30.83,51.98,5.61,61.36,mothbeans
10.0,135.0,196.0,23.77,90.89,6.29,124.11,apple
33.0,55.0,20.0,30.21,83.52,6.37,134.56,mungbean
23.0,17.0,23.0,13.59,80.94,7.02,66.82,grapes
10.0,134.0,198.0,22.94,90.66,6.57,129.42,apple
21.0,23.0,17.0,18.98,82.98,7.29,68.44,grapes
24.0,17.0,18.0,18.32,95.96,6.33,122.91,pomegranate
29.0,40.0,23.0,25.26,87.69,7.4,196.84,mungbean
13.0,123.0,29.0,20.8,22.52,6.81,125.0,kidneybeans
82.0,58.0,43.0,29.8,80.29,6.17,215.16,jute
0.0,136.0,202.0,23.24,94.52,5.51,100.01,apple
17.0,15.0,17.0,11.29,82.11,7.34,82.58,grapes
24.0,53.0,23.0,30.2,84.8,6.93,108.81,mungbean
79.0,58.0,43.0,30.01,71.67,6.85,205.19,jute
49.0,62.0,49.0,33.94,89.54,7.37,145.98,papaya
23.0,22.0,10.0,12.02,96.21,7.43,101.58,orange
90.0,38.0,35.0,27.84,63.19,7.29,73.0,maize
18.0,17.0,21.0,20.79,92.95,6.36,195.6,pomegranate
19.0,17.0,24.0,18.67,82.41,6.86,82.95,grapes
20.0,24.0,37.0,27.09,95.25,5.5,129.37,coconut
23.0,66.0,20.0,26.69,21.63,5.7,103.45,pigeonpeas
20.0,19.0,19.0,23.88,88.89,7.34,148.02,pomegranate
104.0,11.0,51.0,33.76,93.84,6.11,34.99,muskmelon
49.0,99.0,69.0,21.63,19.94,6.94,71.13,chickpea
16.0,21.0,15.0,10.19,96.84,7.36,117.01,orange
20.0,13.0,17.0,25.1,55.49,6.04,106.79,mango
43.0,55.0,32.0,27.57,65.14,5.35,132.96,blackgram
49.0,63.0,45.0,34.12,90.48,7.09,157.98,papaya
108.0,49.0,19.0,26.25,78.28,6.69,109.36,cotton
24.0,11.0,16.0,24.27,48.05,5.02,177.31,mango
50.0,55.0,17.0,28.88,72.31,5.71,117.94,blackgram
18.0,77.0,23.0,20.4,18.67,6.77,112.14,pigeonpeas
